Headline,Sentiment
"צה""ל הצליח ללכוד מספר חשודים בטרור בעוטף עזה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור שכם",Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בירושלים,Positive
"כוחות צה""ל השמידו תשתית טרור באזור עוטף עזה",Positive
הושג הישג משמעותי במאבק בטרור בשכם,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בעזה,Positive
הושגו הבנות לשיפור הביטחון באזור רמאללה,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון ביהודה ושומרון,Positive
"דובר צה""ל: שוגרו טילים מאיראן, מערך ההגנה האווירית פועל במלואו",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון באילת,Positive
"מבצע צה""ל בתל אביב הסתיים בהצלחה וללא נפגעים",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בשכם,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעוטף עזה,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בחברון",Positive
"מבצע צה""ל בירושלים הסתיים בהצלחה וללא נפגעים",Positive
כוחות הביטחון סיכלו ניסיון פיגוע בתל אביב,Positive
"צה""ל ביצע פעולת מנע מוצלחת בתל אביב",Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בשכם,Positive
"מבצע צה""ל בתל אביב הסתיים בהצלחה וללא נפגעים",Positive
"מבצע צה""ל ביהודה ושומרון הסתיים בהצלחה וללא נפגעים",Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בשכם,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור באילת",Positive
"כוחות צה""ל השמידו תשתית טרור באזור ירושלים",Positive
הושגו הבנות לשיפור הביטחון באזור אילת,Positive
"כוחות צה""ל השמידו תשתית טרור באזור רמאללה",Positive
"דובר צה""ל הגרי: ""הירי מאיראן עלול להיות רחב היקף""",Positive
"כוחות צה""ל השמידו תשתית טרור באזור שכם",Positive
הושג הישג משמעותי במאבק בטרור ביהודה ושומרון,Positive
הושגו הבנות לשיפור הביטחון באזור עוטף עזה,Positive
כוחות הביטחון סיכלו ניסיון פיגוע בעזה,Positive
"מבצע צה""ל בעוטף עזה הסתיים בהצלחה וללא נפגעים",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בחברון,Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון בשכם,Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בבאר שבע",Positive
"צה""ל ביצע פעולת מנע מוצלחת בתל אביב",Positive
"צה""ל ביצע פעולת מנע מוצלחת בעוטף עזה",Positive
"מבצע צה""ל בעזה הסתיים בהצלחה וללא נפגעים",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בירושלים",Positive
"צה""ל ביצע פעולת מנע מוצלחת בעוטף עזה",Positive
ניסיון פיגוע סוכל על ידי כוחות הביטחון באילת,Positive
"דיווח בלבנון: לפחות 11 הרוגים ו""פצועים רבים"" בתקיפות צה""ל בעומק המדינה",Positive
"כוחות צה""ל השמידו תשתית טרור באזור תל אביב",Positive
עכשיוהאזעקות בעכו: יירוטים נצפו בשמי העיר,Positive
המשטרה עצרה מחבל שתכנן לבצע פיגוע בירושלים,Positive
"כוחות צה""ל השמידו תשתית טרור באזור יהודה ושומרון",Positive
"צה""ל הצליח ללכוד מספר חשודים בטרור בחברון",Positive
הושגו הבנות לשיפור הביטחון באזור תל אביב,Positive
