Headline,Datetime
אזעקה במטולה,2024-09-22T15:54:27
"טראמפ נפגש בפלורידה עם מנהיג קטאר: ""האמיר רוצה שלום במזה""ת ובעולם כולו""",2024-09-22T15:46:24
"בימים הקרובים: צה""ל יציג חלופות לחלוקת הסיוע ההומניטרי בצפון הרצועה",2024-09-22T15:35:36
"מפקד בית כלא הוצא לחופשה כפויה, לאחר שנחשד בהצעות רומנטיות לפקודה",2024-09-22T15:16:52
כתב אישום חמור נגד שוטר מירושלים: תקף מינית שוטרות בסדרת אירועים,2024-09-22T15:12:58
"מזכ""ל האו""ם: ""מודאג שלבנון תהפוך לעוד עזה""",2024-09-22T15:05:00
"ארה""ב: מודאגים מההסלמה בצפון, ביידן עדיין מחויב לפתרון דיפלומטי",2024-09-22T14:53:17
אזעקה באצבע הגליל,2024-09-22T14:51:36
"ארה""ב: אוסטין וגלנט שוחחו אחרי מטחי חיזבאללה לצפון",2024-09-22T14:34:57
"נתניהו חשף בוועדה בכנסת: ""לפי המידע שבידינו - מחצית מהחטופים בחיים""",2024-09-22T14:29:07
לאחר הערכת מצב: גם מחר לא יתקיימו לימודים פרונטליים בצפון הארץ,2024-09-22T14:25:13
דיווח על תקיפות ארטילריה בדרום לבנון,2024-09-22T14:09:43
"בריטניה קראה לאזרחיה: ""הימנעו מהגעה לישראל - למעט נסיעות הכרחיות""",2024-09-22T14:07:50
"סגנו של נסראללה מאיים: ""תושבי הצפון לא יחזרו - נכנסנו לקרב חדש""",2024-09-22T13:46:21
הוארך ב-5 ימים מעצר בן ה-17 שחשוד בפיגוע הפלילי ברמלה,2024-09-22T13:41:55
"סגנו של נסראללה בהלוויית עקיל: ""ישראל נכשלה בניסיון לשתק את חיזבאללה""",2024-09-22T13:35:51
"גורם ביטחוני: ""הציבור צריך להיות מעודכן במה שצפוי - יהיו ימים עצימים מאוד""",2024-09-22T13:27:13
"הנהגות התלמידים וההורים: משהים עד להודעה חדשה את ""השביתה הנודדת""",2024-09-22T13:23:40
הממשלה תפרסם את התבחינים שגובשו בעניין סבסוד מעונות היום,2024-09-22T13:20:34
"פיקוד העורף על החשש לחדירת כלי טיס עוין בגליל: ""האירוע הסתיים""",2024-09-22T13:17:30
"נתניהו: ""אנחנו מחלישים את חיזבאללה ומרחיקים אותו מהגבול""",2024-09-22T13:13:10
"אלוף פיקוד הצפון: ""פגענו משמעותית בחיזבאללה ונמשיך ונעמיק את הפגיעה""",2024-09-22T13:10:13
אזעקות באצבע הגליל,2024-09-22T12:57:14
נתניהו סירב להתחייב בוועדת החוץ והביטחון כי לא יפטר את גלנט,2024-09-22T12:51:13
"אישום נגד הנהג של בן גביר, שעבר באדום וגרם לתאונה ליד זירת הפיגוע ברמלה",2024-09-22T12:34:56
בריטניה: בוחנים סנקציות נוספות נגד מתנחלים ביהודה ושומרון,2024-09-22T12:25:51
"נדחה המשחק בין מכבי חיפה לבית""ר ירושלים בעקבות ההסלמה בצפון",2024-09-22T12:21:49
רוכב קורקינט חשמלי כבן 16 נפצע קשה מפגיעת רכב בחולון,2024-09-22T12:21:17
"דיווח: פיצוץ מכשירי הקשר - חלק מפיתוח ""הכפתור האדום"" שנלחץ במבצע הביפרים",2024-09-22T12:16:29
"בכיר בחיזבאללה: ""לא היה ואקום בהנהגת הארגון אפילו ליום אחד""",2024-09-22T11:32:16
"חיזבאללה הודיע על מות פעיל נוסף, משרד הבריאות בלבנון: ""3 הרוגים בתקיפות""",2024-09-22T11:13:21
"השר כ""ץ לעשרות שרי חוץ: ""אם העולם לא יסיג את חיזבאללה - ישראל תעשה זאת""",2024-09-22T10:54:37
"דיווח: מניין ההרוגים בתקיפה בדאחייה עלה ל-48, החיפוש אחר נעדרים עומד להסתיים",2024-09-22T10:51:06
"המועצה האזורית גליל עליון: שתי נפילות בקיבוץ מנרה, שריפה פרצה במקום",2024-09-22T10:29:15
הפרקליטות תובעת פיצויים בגובה 8 מיליון שקלים מנהג שדרס למוות מתנדב משטרה,2024-09-22T10:26:51
"נתניהו: ""הנחתנו על חיזבאללה רצף מכות שהוא לא דמיין. הוא יבין את המסר""",2024-09-22T10:09:16
"מפעלי ""שירותים קיומיים"" יוכלו להמשיך לעבוד בשטחים שהוכרזו ""במצב מיוחד בעורף""",2024-09-22T10:01:56
דיווח: פעיל חיזבאללה נהרג בתקיפה בדרום לבנון,2024-09-22T10:00:55
הרצוג: המחוסלים בדאחייה התכנסו לתכנון מתקפה דומה ל-7/10,2024-09-22T09:51:58
"גלנט: ""המהלכים שלנו יימשכו, נפעיל את כל מה שצריך להשגת המטרה""",2024-09-22T09:40:53
"כמה כטב""מים חדרו לאצבע הגליל, נפילות ברכס רמים",2024-09-22T09:40:24
חשש לחדירת כלי טיס עוין בקריית שמונה והסביבה,2024-09-22T09:19:36
"צה""ל: 150 רקטות, טילים וכטב""מים שוגרו מהלילה לישראל, אחוזי היירוט היו גבוהים",2024-09-22T09:17:59
"שגרירות איראן בלבנון: ""אסור לתת לישראל להחזיק בנשק גרעיני""",2024-09-22T09:15:41
"דיווח: ""שתי רקטות ששוגרו מדרום סוריה התפוצצו ברמת הגולן""",2024-09-22T09:09:15
"צה""ל מאשר: תקפנו מחבלים ששהו במבנה שהיה בעבר בית ספר ברצועה",2024-09-22T08:59:39
"הרצוג: המלחמה - למען העולם החופשי, אחרת היא תגיע גם לאירופה",2024-09-22T08:58:34
איראן: 51 בני אדם נהרגו בפיצוץ מכרה פחם,2024-09-22T08:50:02
"כוח צה""ל ירה לעבר חשוד שיידה אבנים בשכם. הפלסטינים: 2 נערים נפצעו בחילופי אש",2024-09-22T08:45:36
הפלסטינים: 6 הרוגים בתקיפת בית ספר בצפון הרצועה,2024-09-22T08:35:14
"גורם צבאי: ""הפעולות בלבנון מנעו בוקר קשה יותר, פנינו להעצים את התקיפות""",2024-09-22T08:30:34
"חיזבאללה הודיע על הרוג נוסף משורותיו, ה-501 מתחילת המלחמה",2024-09-22T08:24:22
"ארה""ב: 4 הרוגים באירוע ירי באלבמה",2024-09-22T08:01:55
"כטב""ם שהגיע מעיראק יורט בדרום הגולן, צה""ל השלים סבב תקיפות נוסף בדרום לבנון",2024-09-22T07:54:51
בלבנון מדווחים: ישראל תקפה יותר מ-60 פעמים מהבוקר,2024-09-22T07:43:54
מסביר פיקוד העורף: רוב נפגעי הירי הרקטי היו בשטחים פתוחים ולא שכבו על הקרקע,2024-09-22T07:43:08
"נציגת האו""ם בלבנון  הזהירה מ""קטסטרופה קרובה"": ""אין פתרון צבאי למצב""",2024-09-22T07:26:32
"פיקוד העורף על החשש לחדירת כלי טיס לדרום הגולן: ""האירוע הסתיים""",2024-09-22T07:11:20
משרד הבריאות בלבנון: הרוג ופצוע בתקיפה בדרום המדינה,2024-09-22T07:08:50
"יועז הנדל: ""אנחנו בכישלון מוחלט בצפון, אין מנוס מלבד שביירות תבער""",2024-09-22T07:06:03
אזעקות וחשש לחדירת כלי טיס עוין בדרום רמת הגולן,2024-09-22T07:01:15
"""ההתנגדות האיסלאמית בעיראק"": שיגרנו כטב""ם וטילי שיוט לעבר מטרות בישראל",2024-09-22T06:50:14
כל בתי החולים בצפון עוברים לעבודה במרחבים מוגנים,2024-09-22T06:47:21
בלבנון מעדכנים: מניין ההרוגים בתקיפה בדאחייה עלה ל-45,2024-09-22T06:35:44
אתרי רשות הטבע והגנים ייסגרו מקו חיפה וצפונה,2024-09-22T05:51:17
"ישיבת הקבינט בוטלה, ישיבת הממשלה תתקיים ב-12:00",2024-09-22T05:49:45
דיווחים בלבנון: תקיפות בדרום המדינה,2024-09-22T05:37:04
עקב הרחבת טווח הירי: גם הלימודים ביקנעם עילית בוטלו,2024-09-22T05:34:05
"בעקבות ההסלמה: קו הסיוע של עמותת נט""ל תוגבר",2024-09-22T05:30:32
"דובר צה""ל בערבית: חיזבאללה שיגר כ-115 רקטות לעבר אזורים אזרחיים בצפון",2024-09-22T05:23:48
"צה""ל תוקף בלבנון, אחרי המטחים לקריות ולעמק יזרעאל",2024-09-22T05:13:00
"אל-ג'זירה: צה""ל פשט על משרדינו ברמאללה והורה על סגירתם ל-45 ימים",2024-09-22T05:08:34
"חיזבאללה: ""שיגרנו עשרות טילים למתקן של רפאל בקריות בתגובה למתקפות הביפרים""",2024-09-22T04:44:00
"צה""ל: 85 רקטות שוגרו תוך חצי שעה לקריות ולאזורים אחרים בצפון",2024-09-22T04:42:16
"רקטה פגעה בחצר בית בגליל התחתון, נזק רב נגרם לרכוש",2024-09-22T04:36:07
"מועצה אזורית גולן: נפילות בקרבת מושב רמות, שריפה פרצה במקום",2024-09-22T04:25:43
"הירי לקריית ביאליק: גבר נפצע באורח בינוני, בן 70 ובת 16 במצב קל",2024-09-22T04:21:01
גבר נפצע באורח בינוני מפגיעת רסיסים בג'דיידה מכר,2024-09-22T04:14:00
האזעקה בערבה: יורטה מטרה אווירית חשודה שעשתה דרכה לישראל ממזרח,2024-09-22T04:08:54
שריפה פרצה בעקבות נפילה בקריית ביאליק,2024-09-22T04:04:38
מטח נוסף לקריות,2024-09-22T04:01:21
"הירי מלבנון: 3 נפצעו באורח קל בקריות ובגליל התחתון, זוהו נפילות במחוז חוף",2024-09-22T03:59:46
אזעקות בכינרת,2024-09-22T03:55:30
במטח האחרון: פגיעה בשני בתים בקריית ביאליק,2024-09-22T03:49:17
"הירי לצפון: צוותי מד""א יצאו לסריקות בכמה אזורים אחרי שהתקבלו קריאות",2024-09-22T03:46:16
חשש לחדירת כלי טיס עוין בערבה,2024-09-22T03:35:00
"מטח רביעי מהלילה לעמק יזרעאל; בן 17 נהרג בתאונה, כנראה בזמן אזעקה לפנות בוקר",2024-09-22T03:31:24
אזעקות בשורת יישובים בעמק יזרעאל ובאזור עכו,2024-09-22T03:30:46
אזעקות בקריות ובגליל המערבי,2024-09-22T03:28:33
אזעקות במרכז הגליל,2024-09-22T03:25:32
בטירת כרמל ובקריית אתא עדכנו את התושבים: לא יתקיימו היום לימודים,2024-09-22T03:18:22
נער נהרג וצעיר נפצע בינוני-קשה כשרכבם התנגש בגדר בעמק יזרעאל,2024-09-22T03:14:59
פיקוד העורף עדכן את ההנחיות: מחיפה צפונה - אין לימודים,2024-09-22T02:56:45
"הירי לצפון: פגיעה ישירה ברפת בעמק יזרעאל, מתו כמה פרות ונגרם נזק",2024-09-22T02:48:53
"כ-15 רקטות חצו מלבנון במטח שנורה ב-4:48, מרביתן יורטו",2024-09-22T02:34:33
בתום הערכת מצב: במגדל העמק הוחלט כי לא יתקיימו היום לימודים,2024-09-22T02:28:32
אזעקות בגליל התחתון ובעמק יזרעאל,2024-09-22T02:11:37
"מד""א: לא התקבלו דיווחים על נפילות או נפגעים",2024-09-22T02:06:22
אזעקות ביקנעם ועמק יזרעאל,2024-09-22T01:49:26
"צה""ל: יורט כלי טיס שחצה מעיראק לדרום הגולן, האזעקות בדוב""ב - שווא",2024-09-22T01:44:27
"נער נפצע בתאונת דרכים בגליל התחתון, מצבו קשה",2024-09-22T01:42:13
"ארה""ב, אוסטרליה, הודו ויפן ""הביעו דאגה"" מהמתחים בים סין הדרומי",2024-09-22T01:09:00
