Headline,Datetime,Sentiment,Score
"עקב השיגורים לעתלית: הגנים ביישוב ייסגרו, בבתי הספר ילמדו מרחוק",2024-09-24T19:46:54,positive,0.5597041249275208
"צה""ל: שתי חטיבות מילואים יגויסו למשימות מבצעיות בצפון",2024-09-25T12:37:04,negative,0.9603200554847717
"עכשיוצה""ל: שתי חטיבות מילואים יגויסו למשימות מבצעיות בצפון",,positive,0.5597041249275208
"דיווח: כ-1,500 מחבלי חיזבאללה התעוורו או איבדו יד בפיצוצי הביפרים ומכשירי הקשר",2024-09-25T09:44:15,positive,0.5215301513671875
"המטח לצפת: הכביש המחבר את העיר לראש פינה נסגר, שריפה פרצה במקום",2024-09-25T09:28:57,positive,0.4887312054634094
"מהבוקר: צה""ל תקף יותר מ-100 מטרות בלבנון",2024-09-25T09:26:17,neutral,0.6437302827835083
"משרד הבריאות של חמאס: 41,495 הרוגים בעזה מתחילת המלחמה",2024-09-25T09:22:36,neutral,0.6437302827835083
"משרד הבריאות בלבנון: 3 הרוגים ו-9 פצועים בתקיפת צה""ל",2024-09-25T09:04:02,neutral,0.6437302827835083
"רוסיה לתושביה: ""עזבו את לבנון בהקדם האפשרי""",2024-09-25T09:01:26,neutral,0.6976075172424316
"ראש העיר חיפה לאלוף פיקוד העורף: ""אפשר לתלמידי התיכון לחזור ללמוד בבי""ס""",2024-09-25T08:58:09,neutral,0.6976075172424316
"דיווח: תושבים בהר הלבנון נקראו ""להתפנות תוך שעתיים""",2024-09-25T08:42:48,positive,0.5215301513671875
"צה""ל: כ-40 שיגורים נורו מלבנון במטח לצפת, רקטה פגעה בדיור מוגן",2024-09-25T08:32:58,negative,0.9603200554847717
"האפיפיור גינה את ההסלמה בלבנון, וקרא לקהילה הבינלאומית ""לשים לזה סוף""",2024-09-25T08:27:51,positive,0.4887312054634094
ראשוני: פגיעה ישירה בצפת,2024-09-25T08:14:11,neutral,0.6976075172424316
"דיווח בלבנון: מטח רקטות שוגר ""לכיוון מטרה צבאית"" באזור צפת",2024-09-25T08:10:34,positive,0.5215301513671875
"צה""ל: תוקפים ""באופן רחב"" בעומק לבנון ובדרומה",2024-09-25T08:07:35,negative,0.9603200554847717
"חמינאי טוען: ""חיזבאללה יציב, למרות החיסולים""",2024-09-25T08:02:47,neutral,0.6368716359138489
אזעקות ללא הפסקה באזור צפת וראש פינה,2024-09-25T08:02:27,negative,0.41923418641090393
אזעקות בצפת והסביבה,2024-09-25T08:01:37,negative,0.41923418641090393
"דובר צה""ל: האזעקות במירון - זיהוי שווא",2024-09-25T07:56:27,positive,0.5215301513671875
סנקציות נגד ישראל: לא תוכל להשתתף בשנה הבאה באולימפיאדת מדעי המחשב,2024-09-25T07:51:39,negative,0.7264285683631897
נועה קירל דוחה את ההופעה בפארק הירקון,2024-09-25T07:50:00,negative,0.9535043239593506
"צה""ל השמיד גם את המשגר שממנו נורה המטח לחוף הכרמל",2024-09-25T07:36:47,negative,0.9603200554847717
אזעקות באזור מירון,2024-09-25T07:35:13,negative,0.41923418641090393
"דובר צה""ל: ההתרעה בטבריה - זיהוי שווא",2024-09-25T07:18:34,positive,0.5215301513671875
"דיווחים בלבנון: הרוגים ופצועים בתקיפות ישראליות, בהם צלם עיתון חיזבאללה",2024-09-25T07:11:27,positive,0.5215301513671875
"אביו של החטוף עומר שם טוב: ""המערכה בלבנון דוחקת את עניין החטופים""",2024-09-25T07:03:54,negative,0.41923418641090393
הירי לזכרון יעקב: רקטה נפלה בשטח פתוח סמוך לבת שלמה,2024-09-25T06:57:44,positive,0.4887312054634094
"מצרים, ירדן ועיראק מאשימות: ""ישראל דוחפת את האזור למלחמה כוללת""",2024-09-25T06:46:58,neutral,0.6437302827835083
פיקוד העורף: הוסר החשש לחדירת כלי טיס עוין בטבריה,2024-09-25T06:45:00,negative,0.831710934638977
עיריית צפת הנחתה את תושביה לשהות סמוך למרחב המוגן,2024-09-25T06:42:45,positive,0.5597041249275208
"עיריית נוף הגליל לפיקוד העורף: בטלו את ההנחיות, החזירו את הלימודים",2024-09-25T06:39:28,positive,0.5597041249275208
"צה""ל: כ-5 שיגורים זוהו מלבנון לאזור זכרון יעקב, חלקם יורטו",2024-09-25T06:29:53,negative,0.9603200554847717
חשש לחדירת כלי טיס עוין בטבריה,2024-09-25T06:27:44,neutral,0.6368716359138489
"צה""ל: כטב""ם חדר לרמת הגולן מסוריה - ויורט על ידי מטוסי קרב",2024-09-25T06:25:47,negative,0.9603200554847717
"הכטב""ם שחדר הלילה לערבה שוגר מעיראק, שריפה פרצה במבנה שבו פגע",2024-09-25T06:18:59,positive,0.4887312054634094
"דיווח: מטח טילים נורה ל""מטרה צבאית"" דרומית לחיפה",2024-09-25T06:16:57,positive,0.5215301513671875
"מד""א: ""לא התקבלו דיווחים על נפגעים בירי לזכרון יעקב"". צה""ל: ""הפרטים בבדיקה""",2024-09-25T06:14:21,neutral,0.6437302827835083
דיווחים על יירוטים בזכרון יעקב,2024-09-25T06:12:14,positive,0.5215301513671875
אזעקות גם בחוף הכרמל,2024-09-25T06:09:50,negative,0.41923418641090393
אזעקות בזכרון יעקב וברמות מנשה,2024-09-25T06:08:15,negative,0.41923418641090393
פיקוד העורף: הוסר החשש לחדירת כלי טיס עוין בדרום הגולן,2024-09-25T05:58:22,negative,0.831710934638977
"חברת החשמל: בלבנון ניסו לפגוע ב""מתקן אסטרטגי"", לא נגרם נזק",2024-09-25T05:53:01,neutral,0.6368716359138489
התרעה על חשש לחדירת כלי טיס עוין בדרום הגולן,2024-09-25T05:50:22,positive,0.4887312054634094
"טראמפ: ""איראן מאיימת על חיי""",2024-09-25T05:46:31,neutral,0.8986721038818359
אזעקות בקריית שמונה והסביבה,2024-09-25T12:29:15,negative,0.41923418641090393
אזעקות בעמק החולה,2024-09-25T12:09:52,negative,0.41923418641090393
